Symptom,Disease
"fever, nausea, weakness",Food Poisoning
"sore throat, shortness of breath",Epilepsy
"confusion, weight loss, abdominal pain",Allergic Rhinitis
"night sweats, sneezing, joint pain, chest pain",Skin Allergy
"weight loss, abdominal pain, sweating",Gastroenteritis
"abdominal pain, sore throat",UTI
"fever, blurred vision, cough",COVID-19
"sore throat, night sweats, fatigue, dizziness, loss of appetite",Encephalitis
"loss of appetite, fever, cough, night sweats",Osteoarthritis
"rash, headache, abdominal pain",Eczema
"diarrhea, dizziness, confusion",Kidney Infection
"dizziness, confusion, blurred vision",Epilepsy
"weight loss, fever, fatigue, abdominal pain",Osteoarthritis
"weakness, sneezing, confusion, muscle ache",Appendicitis
"fever, shortness of breath, loss of appetite",Osteoarthritis
"abdominal pain, muscle ache, cough, nausea",Leukemia
"sore throat, sweating, cough, diarrhea, night sweats",Epilepsy
"confusion, diarrhea, fever",Appendicitis
"shortness of breath, rash, sneezing, diarrhea, muscle ache",COVID-19
"nausea, diarrhea, weakness",Tuberculosis
"vomiting, cough, joint pain",Meningitis
"loss of appetite, dizziness",Leukemia
"muscle ache, fever",Kidney Infection
"diarrhea, sneezing",Hepatitis B
"fatigue, diarrhea, joint pain",Psoriasis
"shortness of breath, cough, sweating, joint pain",Hepatitis C
"shortness of breath, diarrhea, blurred vision, headache",Measles
"sneezing, muscle ache, chest pain, shortness of breath, sweating",Hepatitis A
"sweating, blurred vision",Rheumatoid Arthritis
"fatigue, sweating, weakness, chest pain, vomiting",Asthma
"diarrhea, abdominal pain",COVID-19
"loss of appetite, headache, joint pain, dizziness, sore throat",Leukemia
"sweating, vomiting",Hypertension
"chest pain, shortness of breath, cough",Epilepsy
"sweating, sore throat, weight loss, confusion",UTI
"sneezing, chest pain, loss of appetite",Pneumonia
"diarrhea, sweating, nausea, headache",Chikungunya
"cough, fever, shortness of breath, chest pain",COVID-19
"joint pain, loss of appetite",Tuberculosis
"sweating, sneezing, dizziness",Psoriasis
"muscle ache, chest pain, rash, fatigue, vomiting",Epilepsy
"night sweats, nausea, joint pain",Skin Allergy
"headache, nausea, weakness, chest pain",Measles
"sweating, rash",Tuberculosis
"vomiting, nausea, diarrhea, dizziness",Food Poisoning
"weakness, headache, muscle ache, dizziness",Hepatitis B
"muscle ache, night sweats, sore throat",Peptic Ulcer
"nausea, sweating, blurred vision, muscle ache, shortness of breath",Psoriasis
"joint pain, cough, fatigue, weight loss",Diabetes
"vomiting, rash, joint pain, sneezing, weakness",Tuberculosis
"muscle ache, vomiting, weight loss, shortness of breath, fatigue",COVID-19
"headache, weakness, loss of appetite",Heat Stroke
"sweating, headache, sneezing, dizziness",Food Poisoning
"headache, dizziness, weakness, vomiting, shortness of breath",Chikungunya
"fatigue, weakness, diarrhea, rash, dizziness",Gastroenteritis
"muscle ache, abdominal pain, sore throat, diarrhea, vomiting",Bronchitis
"confusion, cough",Hepatitis A
"dizziness, muscle ache, loss of appetite, headache, weight loss",Migraine
"joint pain, sneezing, abdominal pain, shortness of breath",Mumps
"nausea, blurred vision, shortness of breath",Hepatitis C
"cough, headache, confusion",Bronchitis
"vomiting, dizziness",Migraine
"fatigue, joint pain, rash, diarrhea, loss of appetite",Rheumatoid Arthritis
"sweating, muscle ache, sneezing",UTI
"night sweats, fever, nausea",Gastroenteritis
"dizziness, vomiting, cough",Hepatitis A
"cough, vomiting, muscle ache, abdominal pain",Hepatitis B
"sore throat, rash, abdominal pain",Heat Stroke
"loss of appetite, abdominal pain, fatigue",Chickenpox
"diarrhea, loss of appetite, shortness of breath, blurred vision, muscle ache",Kidney Infection
"weight loss, muscle ache, confusion, nausea, abdominal pain",Jaundice
"rash, weakness",Jaundice
"loss of appetite, muscle ache",Lung Cancer
"sweating, chest pain",Jaundice
"chest pain, headache, fever",Measles
"shortness of breath, blurred vision, chest pain",Epilepsy
"weakness, shortness of breath, confusion",Diabetes
"headache, sweating, sneezing, muscle ache, vomiting",Pneumonia
"loss of appetite, fever, chest pain, abdominal pain, nausea",UTI
"fatigue, chest pain, joint pain, shortness of breath",Sinusitis
"abdominal pain, weakness, fatigue",Sinusitis
"cough, loss of appetite, blurred vision",Appendicitis
"muscle ache, cough, dizziness, night sweats",Meningitis
"shortness of breath, cough, nausea",Asthma
"joint pain, blurred vision, night sweats, weight loss",Epilepsy
"sweating, nausea, abdominal pain, shortness of breath, headache",Skin Allergy
"sneezing, joint pain, confusion, loss of appetite, sweating",Meningitis
"weakness, sore throat, chest pain, weight loss, rash",Diabetes
"joint pain, vomiting, fever",Gastroenteritis
"cough, sneezing",Allergic Rhinitis
"rash, loss of appetite, sweating, sore throat, fever",Hepatitis C
"joint pain, blurred vision, chest pain, night sweats",Osteoarthritis
"dizziness, joint pain, loss of appetite",Lung Cancer
"headache, loss of appetite, sweating, dizziness",COVID-19
"weight loss, fatigue, rash, fever, sweating",Chickenpox
"joint pain, vomiting, sneezing, blurred vision",Jaundice
"blurred vision, shortness of breath, headache, sweating, vomiting",UTI
"headache, sore throat, night sweats",Jaundice
"blurred vision, weight loss",Epilepsy
"weight loss, blurred vision, diarrhea, loss of appetite",Pneumonia
"fatigue, sore throat",Encephalitis
"chest pain, dizziness, weight loss, sneezing, abdominal pain",Heat Stroke
"weakness, weight loss",COVID-19
"abdominal pain, rash, dizziness, loss of appetite",Gastroenteritis
"fatigue, loss of appetite, weakness",Hepatitis B
"chest pain, shortness of breath, fever",Hepatitis B
"nausea, sweating, night sweats",Diabetes
"muscle ache, rash",Jaundice
"muscle ache, fever, shortness of breath, night sweats",Diabetes
"vomiting, headache",Bronchitis
"sneezing, weakness, fever, sore throat, sweating",UTI
"nausea, fever",Lung Cancer
"cough, abdominal pain, sweating, night sweats",Rheumatoid Arthritis
"headache, abdominal pain, rash, fatigue, nausea",Heat Stroke
"confusion, loss of appetite, joint pain",Bronchitis
"fever, cough, sore throat, weight loss",Meningitis
"cough, chest pain, abdominal pain",Migraine
"night sweats, shortness of breath, headache, diarrhea",Measles
"nausea, sore throat, diarrhea, vomiting, chest pain",Allergic Rhinitis
"headache, night sweats, cough, joint pain, loss of appetite",Leukemia
"chest pain, sore throat, cough, abdominal pain",Migraine
"nausea, rash, fatigue, muscle ache, weakness",Tuberculosis
"joint pain, nausea",Lung Cancer
"fatigue, nausea, joint pain, blurred vision",Meningitis
"dizziness, sore throat, confusion",Food Poisoning
"night sweats, rash, weakness, chest pain, weight loss",Jaundice
"diarrhea, blurred vision, fatigue, muscle ache",Psoriasis
"chest pain, abdominal pain, loss of appetite, sore throat",Allergic Rhinitis
"confusion, dizziness, loss of appetite",Heat Stroke
"sore throat, joint pain, diarrhea, weight loss",Diabetes
"vomiting, shortness of breath, weight loss, sore throat, sweating",Hepatitis C
"headache, dizziness, sneezing",Anemia
"dizziness, weight loss, nausea, joint pain, weakness",COVID-19
"night sweats, nausea, diarrhea, loss of appetite, confusion",Encephalitis
"fever, vomiting, sneezing, sore throat, confusion",Hepatitis B
"blurred vision, night sweats",Jaundice
"weight loss, blurred vision, nausea, diarrhea",Leukemia
"abdominal pain, joint pain, sore throat, dizziness",Migraine
"sneezing, blurred vision, diarrhea, vomiting, weight loss",Rheumatoid Arthritis
"shortness of breath, fever, abdominal pain",Diabetes
"loss of appetite, diarrhea, chest pain",Hypertension
"fever, sweating, sore throat",Asthma
"weakness, sweating, sore throat",Lung Cancer
"joint pain, rash, abdominal pain, loss of appetite, fatigue",Hypertension
"weakness, fever, joint pain, vomiting",Peptic Ulcer
"fever, fatigue, cough",Gastroenteritis
"abdominal pain, loss of appetite, diarrhea, sweating",Measles
"nausea, weakness",Hepatitis B
"sore throat, joint pain, rash",Lung Cancer
"sweating, abdominal pain, rash",Appendicitis
"fatigue, cough, joint pain",Diabetes
"joint pain, headache",Osteoarthritis
"shortness of breath, muscle ache, weight loss, vomiting",Meningitis
"night sweats, shortness of breath, cough, diarrhea, weight loss",Sinusitis
"sneezing, fever, joint pain",Epilepsy
"sore throat, weakness, muscle ache, diarrhea",Gastroenteritis
"joint pain, confusion, fever, blurred vision, sweating",Appendicitis
"fever, night sweats",Kidney Infection
"abdominal pain, chest pain, blurred vision",UTI
"weight loss, rash, confusion, headache, cough",Asthma
"headache, cough, confusion",Chikungunya
"sneezing, nausea, dizziness, vomiting",Hepatitis B
"night sweats, diarrhea",Epilepsy
"weakness, fever, weight loss, sore throat, joint pain",Skin Allergy
"joint pain, shortness of breath, dizziness, loss of appetite, night sweats",Chikungunya
"fatigue, night sweats, nausea, vomiting",Kidney Infection
"sore throat, rash, loss of appetite",Heat Stroke
"abdominal pain, nausea, rash",Psoriasis
"sweating, weakness, abdominal pain, sneezing",Meningitis
"fatigue, sweating, diarrhea",Hypertension
"cough, confusion, muscle ache, rash",Tuberculosis
"headache, loss of appetite",Pneumonia
"headache, blurred vision, joint pain, night sweats, abdominal pain",Asthma
"loss of appetite, joint pain, diarrhea, shortness of breath, blurred vision",Chickenpox
"chest pain, sweating, abdominal pain, nausea",Kidney Infection
"weakness, sore throat, fever, night sweats",Hepatitis B
"sore throat, cough, weight loss, blurred vision",Mumps
"fever, weakness, dizziness",Hypertension
"joint pain, shortness of breath, sneezing, diarrhea",Hepatitis A
"sweating, loss of appetite, weight loss, diarrhea",Lung Cancer
"loss of appetite, diarrhea, sore throat, shortness of breath, nausea",Asthma
"cough, abdominal pain, sore throat",Chikungunya
"muscle ache, nausea, night sweats, shortness of breath, abdominal pain",Eczema
"sweating, rash, vomiting, blurred vision, fever",Diabetes
"nausea, weight loss, vomiting, muscle ache, joint pain",Gastroenteritis
"abdominal pain, fatigue, blurred vision, weight loss",Lung Cancer
"diarrhea, cough, dizziness, abdominal pain",Asthma
"nausea, joint pain, loss of appetite, blurred vision",Chikungunya
"cough, sweating, sneezing, muscle ache, shortness of breath",COVID-19
"sneezing, muscle ache, weight loss, blurred vision, loss of appetite",Rheumatoid Arthritis
"sneezing, diarrhea, weakness",Meningitis
"night sweats, fever, headache, cough",Meningitis
"sore throat, night sweats",Hepatitis C
"loss of appetite, night sweats, headache, blurred vision",Rheumatoid Arthritis
"muscle ache, vomiting, chest pain, cough",Gastroenteritis
"abdominal pain, confusion",Chickenpox
"headache, weakness, sore throat",Sinusitis
"weight loss, rash, dizziness, shortness of breath, sweating",Leukemia
"cough, loss of appetite, vomiting",Gastroenteritis
"muscle ache, joint pain, night sweats",Hepatitis A
"rash, sore throat",Gastroenteritis
"vomiting, cough, loss of appetite, sneezing",Epilepsy
"muscle ache, vomiting, weight loss, confusion",Psoriasis
"sneezing, headache, nausea, chest pain, sore throat",Jaundice
"joint pain, sore throat",Leukemia
"rash, fever, fatigue, cough, nausea",Asthma
"weakness, sore throat, shortness of breath",Chikungunya
"joint pain, chest pain, blurred vision, abdominal pain",Epilepsy
"rash, shortness of breath, night sweats, joint pain",Hepatitis C
"sneezing, dizziness, sore throat, abdominal pain, weight loss",Psoriasis
"sore throat, sweating, night sweats, diarrhea, fatigue",Sinusitis
"sweating, cough, sneezing",Mumps
"fever, sneezing, vomiting, weakness",COVID-19
"confusion, fever, fatigue, chest pain, joint pain",Peptic Ulcer
"chest pain, headache",Jaundice
"fever, nausea",Allergic Rhinitis
"fatigue, diarrhea, dizziness, fever, sore throat",Hepatitis C
"dizziness, vomiting, blurred vision",Heat Stroke
"sweating, cough",Diabetes
"fatigue, vomiting",Tuberculosis
"sore throat, vomiting, muscle ache",Anemia
"diarrhea, abdominal pain, confusion",UTI
"headache, confusion",Epilepsy
"confusion, fatigue",Chickenpox
"vomiting, sore throat",Hepatitis A
"sweating, rash, sore throat, weakness, fatigue",Asthma
"rash, vomiting, confusion, sneezing",Rheumatoid Arthritis
"rash, sweating, chest pain, sore throat, shortness of breath",Asthma
"rash, sweating, blurred vision",Sinusitis
"headache, weakness, weight loss",Kidney Infection
"muscle ache, weakness, fatigue, shortness of breath",Measles
"cough, rash, chest pain, sweating",Mumps
"cough, nausea, loss of appetite, vomiting, headache",Osteoarthritis
"nausea, sore throat, headache, rash",Osteoarthritis
"confusion, loss of appetite, abdominal pain, headache, vomiting",Leukemia
"sneezing, headache",COVID-19
"joint pain, weight loss",Migraine
"dizziness, sweating, headache, loss of appetite",Diabetes
"sweating, sore throat, confusion, nausea",Encephalitis
"joint pain, dizziness, night sweats, sore throat",Epilepsy
"muscle ache, fever, headache, diarrhea, weakness",Pneumonia
"night sweats, cough, muscle ache",Eczema
"sore throat, dizziness",UTI
"loss of appetite, vomiting",Skin Allergy
"cough, joint pain, muscle ache",Pneumonia
"dizziness, abdominal pain, weight loss",Lung Cancer
"fever, joint pain",Pneumonia
"rash, weakness, shortness of breath, weight loss, abdominal pain",Meningitis
"dizziness, confusion, sweating, muscle ache, vomiting",Gastroenteritis
"diarrhea, blurred vision, fever, weakness",Bronchitis
"fatigue, shortness of breath, diarrhea, cough, sneezing",Rheumatoid Arthritis
"sneezing, shortness of breath, sweating, fatigue, headache",Pneumonia
"blurred vision, sore throat, night sweats",Measles
"headache, night sweats, joint pain, sneezing, nausea",Leukemia
"night sweats, blurred vision, chest pain, weight loss, vomiting",Hepatitis A
"cough, headache, blurred vision, dizziness, vomiting",Migraine
"muscle ache, vomiting",Psoriasis
"sweating, fever, loss of appetite",Hepatitis A
"weight loss, night sweats, sweating",Asthma
"chest pain, shortness of breath, night sweats, blurred vision, weight loss",Migraine
"cough, sweating, loss of appetite, night sweats, fever",Encephalitis
"weakness, sneezing",Asthma
"weakness, abdominal pain",Hepatitis C
"weight loss, abdominal pain, sore throat, fever, night sweats",Food Poisoning
"weakness, blurred vision, fever, sneezing",Anemia
"muscle ache, shortness of breath, vomiting, night sweats, diarrhea",Food Poisoning
"fever, rash, weight loss",Asthma
"chest pain, confusion, rash, joint pain",Encephalitis
"confusion, blurred vision, joint pain",UTI
"chest pain, sweating, nausea, shortness of breath",Jaundice
"nausea, abdominal pain, dizziness",Hypertension
"fatigue, headache, nausea, night sweats",Leukemia
"diarrhea, sweating, sore throat, headache, dizziness",Sinusitis
"fever, fatigue, sneezing",Osteoarthritis
"fatigue, nausea",Peptic Ulcer
"blurred vision, sore throat, chest pain",Measles
"cough, sneezing, sweating, nausea",Epilepsy
"fever, chest pain, loss of appetite, sneezing, vomiting",Hepatitis B
"blurred vision, nausea, confusion, cough",Psoriasis
"abdominal pain, muscle ache",Skin Allergy
"dizziness, cough, sneezing, diarrhea, confusion",Hepatitis A
"rash, nausea, weight loss",Food Poisoning
"abdominal pain, joint pain, weakness",Lung Cancer
"chest pain, nausea, blurred vision",Peptic Ulcer
"fatigue, diarrhea, weight loss, blurred vision, dizziness",Tuberculosis
"weight loss, confusion, dizziness, weakness",Pneumonia
"muscle ache, rash, shortness of breath, night sweats, weakness",Tuberculosis
"weakness, rash",Kidney Infection
"sweating, sore throat, diarrhea",Lung Cancer
"blurred vision, cough, sneezing",Kidney Infection
"shortness of breath, vomiting",Jaundice
"cough, fever",Epilepsy
"nausea, weight loss, joint pain",Eczema
"muscle ache, joint pain",Epilepsy
"sneezing, muscle ache, weakness, fever, vomiting",Anemia
"sneezing, loss of appetite, vomiting, dizziness, shortness of breath",Meningitis
"confusion, dizziness, sweating, fever",Allergic Rhinitis
"loss of appetite, blurred vision, weight loss",Measles
"muscle ache, night sweats, dizziness, shortness of breath",UTI
"weight loss, joint pain",Osteoarthritis
"confusion, abdominal pain, blurred vision, rash, muscle ache",Anemia
"vomiting, sneezing, weakness, muscle ache",Encephalitis
"fever, diarrhea, abdominal pain, sore throat, weight loss",Pneumonia
"abdominal pain, sore throat, rash",Psoriasis
"muscle ache, confusion, rash, loss of appetite",Hepatitis A
"sweating, dizziness, chest pain",Osteoarthritis
"fatigue, weight loss, vomiting, blurred vision",Rheumatoid Arthritis
"chest pain, nausea, confusion",UTI
"muscle ache, blurred vision",Asthma
"abdominal pain, headache",Chickenpox
"muscle ache, night sweats",Hypertension
"fever, headache, confusion, diarrhea, blurred vision",Psoriasis
"sneezing, abdominal pain",Chickenpox
"sore throat, chest pain",Jaundice
"headache, night sweats, confusion",Mumps
"fatigue, chest pain",Hypertension
"rash, loss of appetite, blurred vision, chest pain, sweating",Hypertension
"headache, shortness of breath, sore throat, night sweats, confusion",Tuberculosis
"cough, sweating, vomiting, joint pain",Pneumonia
"chest pain, rash, dizziness, fatigue, sweating",Migraine
"fever, dizziness",COVID-19
"blurred vision, confusion, sore throat, night sweats",Skin Allergy
"fatigue, sweating, loss of appetite, vomiting, cough",Allergic Rhinitis
"fever, sneezing, sore throat",Diabetes
"loss of appetite, vomiting, fever, fatigue",Encephalitis
"headache, blurred vision, dizziness, night sweats",Mumps
"joint pain, nausea, weakness, sneezing, diarrhea",Mumps
"nausea, sweating, headache, muscle ache",Tuberculosis
"diarrhea, shortness of breath, weakness, confusion, blurred vision",Hypertension
"night sweats, chest pain, headache",Hepatitis C
"dizziness, cough, headache, shortness of breath",Skin Allergy
"blurred vision, rash, night sweats",Anemia
"blurred vision, shortness of breath",Pneumonia
"confusion, weight loss",Chikungunya
"vomiting, confusion, diarrhea",Leukemia
"joint pain, weakness, chest pain, diarrhea",Gastroenteritis
"diarrhea, nausea, sneezing, fever, loss of appetite",Rheumatoid Arthritis
"loss of appetite, sneezing, confusion, shortness of breath",Rheumatoid Arthritis
"confusion, sneezing, diarrhea, joint pain, sweating",Hypertension
"sweating, fever",Psoriasis
"weakness, sweating, night sweats, cough",COVID-19
"rash, diarrhea, fatigue, headache",Diabetes
"night sweats, chest pain, sweating, sneezing, headache",Hepatitis B
"weakness, confusion, sweating, headache, sneezing",COVID-19
"cough, weakness, joint pain",Meningitis
"joint pain, night sweats",Skin Allergy
"fatigue, weakness",Appendicitis
"confusion, loss of appetite, vomiting, sore throat, fatigue",Hepatitis B
"abdominal pain, diarrhea, cough, vomiting",Measles
"diarrhea, fatigue, chest pain, sneezing",Mumps
"rash, abdominal pain, weight loss, blurred vision",Skin Allergy
"headache, joint pain, abdominal pain, fatigue, vomiting",Sinusitis
"rash, cough, vomiting",Jaundice
"cough, headache, sore throat, diarrhea, fever",Allergic Rhinitis
"weakness, weight loss, blurred vision",Mumps
"chest pain, diarrhea, sweating, joint pain",Diabetes
"diarrhea, muscle ache, weakness, confusion, rash",Meningitis
"diarrhea, weakness, rash, dizziness",Jaundice
"blurred vision, muscle ache, cough, night sweats",Mumps
"sore throat, cough, vomiting, weakness, chest pain",Food Poisoning
"fever, loss of appetite, joint pain",Jaundice
"shortness of breath, weakness, night sweats, confusion",Eczema
"sore throat, headache, confusion, blurred vision, sneezing",Gastroenteritis
"nausea, fever, cough, vomiting, joint pain",Kidney Infection
"vomiting, joint pain, cough, dizziness, headache",Sinusitis
"fatigue, muscle ache, confusion, rash",Psoriasis
"nausea, shortness of breath, sneezing, loss of appetite, fatigue",Osteoarthritis
"chest pain, rash, weakness",Sinusitis
"shortness of breath, chest pain, cough, night sweats, sneezing",Anemia
"chest pain, fatigue, weakness, sneezing, joint pain",Bronchitis
"sore throat, abdominal pain, nausea, muscle ache",Anemia
"rash, loss of appetite, sweating, sore throat, night sweats",Bronchitis
"night sweats, shortness of breath",UTI
"joint pain, fever, sore throat",Peptic Ulcer
"loss of appetite, diarrhea, sweating, shortness of breath",Appendicitis
"night sweats, abdominal pain",Lung Cancer
"shortness of breath, loss of appetite, rash, joint pain",COVID-19
"muscle ache, fatigue, diarrhea, sneezing, cough",Pneumonia
"cough, shortness of breath, blurred vision",Allergic Rhinitis
"rash, muscle ache, sweating, weight loss, chest pain",Allergic Rhinitis
"fatigue, sore throat, night sweats",Rheumatoid Arthritis
"rash, fever, headache, weakness, weight loss",Jaundice
"fatigue, sweating",Skin Allergy
"fatigue, dizziness, weight loss",Epilepsy
"sneezing, vomiting, loss of appetite, night sweats, fatigue",Sinusitis
"cough, weakness, chest pain",Chickenpox
"chest pain, diarrhea, night sweats",Asthma
"loss of appetite, confusion, blurred vision, diarrhea, vomiting",Pneumonia
"headache, dizziness",Leukemia
"weight loss, sore throat, cough, confusion",Jaundice
"headache, diarrhea, confusion, fever",Heat Stroke
"muscle ache, joint pain, rash, blurred vision",Chikungunya
"loss of appetite, nausea, chest pain",Skin Allergy
"weight loss, sore throat, loss of appetite, blurred vision",Rheumatoid Arthritis
"loss of appetite, sweating, weakness",Pneumonia
"weight loss, diarrhea",Eczema
"sneezing, diarrhea, vomiting, weakness, sweating",Pneumonia
"fever, joint pain, blurred vision, weight loss",Meningitis
"fever, chest pain, weight loss, abdominal pain",Leukemia
"dizziness, confusion, sweating, night sweats",Hepatitis C
"fever, chest pain, dizziness, nausea",UTI
"muscle ache, joint pain, headache",Anemia
"confusion, diarrhea, fatigue, weight loss, headache",Meningitis
"loss of appetite, confusion, joint pain",Hepatitis B
"confusion, fever, sneezing",Hepatitis C
"vomiting, weight loss, fatigue",Leukemia
"weakness, headache",Heat Stroke
"sweating, chest pain, fever, headache",Gastroenteritis
"weight loss, chest pain, muscle ache, cough, weakness",COVID-19
"fatigue, fever, sneezing, muscle ache, loss of appetite",Bronchitis
"joint pain, headache, weakness",Chikungunya
"blurred vision, headache, abdominal pain, fever, sneezing",Chikungunya
"fever, cough, rash",COVID-19
"dizziness, fever, sweating",Bronchitis
"confusion, sweating, night sweats, vomiting",UTI
"shortness of breath, sneezing",COVID-19
"vomiting, weight loss, confusion, joint pain, weakness",Epilepsy
"fatigue, dizziness, blurred vision, confusion",Leukemia
"blurred vision, confusion, diarrhea, rash, night sweats",Hypertension
"fever, muscle ache, nausea, dizziness",COVID-19
"sweating, dizziness",Hepatitis A
"loss of appetite, rash, weight loss, nausea, confusion",Sinusitis
"vomiting, headache, nausea, abdominal pain, night sweats",Hepatitis B
"night sweats, sore throat, fever, blurred vision, nausea",Diabetes
"fatigue, confusion, diarrhea",Migraine
"cough, blurred vision",Osteoarthritis
"fatigue, abdominal pain, sneezing",Jaundice
"sneezing, headache, nausea",Osteoarthritis
"headache, sore throat, dizziness, rash, fever",Asthma
"weakness, loss of appetite, diarrhea",Asthma
"blurred vision, diarrhea",Leukemia
"blurred vision, fever, weakness",Rheumatoid Arthritis
"loss of appetite, abdominal pain",Measles
"fever, rash, cough, nausea",Appendicitis
"sneezing, cough, weakness, nausea, blurred vision",Diabetes
"blurred vision, chest pain",Leukemia
"weight loss, headache, fever",COVID-19
"night sweats, confusion, cough, blurred vision, fever",Heat Stroke
"diarrhea, rash, nausea, weight loss, weakness",Heat Stroke
"fatigue, nausea, sweating, weight loss, abdominal pain",Heat Stroke
"abdominal pain, nausea, weight loss, fever, diarrhea",Chikungunya
"loss of appetite, night sweats, confusion, joint pain, rash",Appendicitis
"shortness of breath, blurred vision, weakness, sweating",Hepatitis B
"joint pain, dizziness, sore throat, diarrhea",Diabetes
"weight loss, loss of appetite, shortness of breath, night sweats",Anemia
"night sweats, loss of appetite, nausea, sweating",Food Poisoning
"headache, sneezing, blurred vision, rash, vomiting",Hepatitis C
"joint pain, muscle ache, headache, fatigue, abdominal pain",Eczema
"cough, joint pain, rash",Osteoarthritis
"blurred vision, sore throat, fever",COVID-19
"sneezing, headache, rash, chest pain, dizziness",Hepatitis A
"abdominal pain, diarrhea, night sweats, headache",Eczema
"rash, weight loss, chest pain, night sweats",Meningitis
"loss of appetite, rash",Tuberculosis
"fever, sore throat, weakness",Hepatitis B
"sweating, cough, chest pain, diarrhea",Hepatitis B
"shortness of breath, headache, cough, night sweats, rash",Allergic Rhinitis
"fever, weakness, sore throat",Rheumatoid Arthritis
